252	002094. 青岛金王	3.87	+0.26%	2020Q1到2022Q1	10.47%	24.66%	0.08	181.64	1.19	-	26.67	-14.38%	美容护理
166	600168. 武汉控股	6.46	+0.31%	2020Q1到2022Q1	54.12%	-25.36%	0.01	-	0.88	2.62%	45.70	-2.87%	环保
254	600187. 国中水务	2.71	+0.37%	2020Q1到2022Q1	8.67%	2.06%	6.86	-	1.35	-	44.66	+5.04%	环保
264	600283. 钱江水利	13.75	+0.73%	2020Q2到2022Q2	5.96%	-12.93%	0.01	45.93	2.28	1.10%	48.18	+9.74%	环保
275	000826. 启迪环境	3.65	0.00%	2020Q1到2022Q1	4.06%	108.07%	0.00	-	0.62	-	52.22	-17.98%	环保
291	600217. 中再资环	5.06	+1.00%	2020Q1到2022Q1	0.25%	-22.37%	0.19	35.62	2.86	0.20%	69.57	-33.02%	环保
323	601368. 绿城水务	5.75	+0.70%	2020Q1到2022Q1	-5.20%	10.04%	0.59	16.16	1.08	1.79%	50.42	+8.67%	环保
471	000068. 华控赛格	3.80	+0.80%	2020Q1到2022Q1	-38.60%	21.98%	0.00	-	14.97	-	37.95	+9.83%	环保
97	600506. 香梨股份	11.09	-0.54%	2020Q2到2022Q2	172.28%	378.48%	0.00	-	8.14	-	16.47	-0.98%	石油加工贸易
473	000819. 岳阳兴长	28.10	+0.46%	2020Q1到2022Q1	-39.01%	17.10%	0.01	107.07	9.37	0.03%	85.68	+52.47%	石油加工贸易
382	002243. 力合科创	9.29	+0.22%	2020Q1到2022Q1	-18.69%	56.86%	0.09	26.88	1.74	0.86%	112.22	-16.91%	其他社会服务
273	600880. 博瑞传播	5.20	+0.19%	2020Q1到2022Q1	4.39%	43.88%	0.00	84.26	1.89	0.48%	56.74	-30.46%	教育
280	600730. 中国高科	5.33	0.00%	2020Q1到2022Q1	2.61%	8.38%	0.06	-	1.68	0.14%	31.27	-6.54%	教育
417	300192. 科德教育	6.03	+0.84%	2020Q1到2022Q1	-26.11%	47.41%	0.01	-	2.89	5.02%	19.68	-27.44%	教育
495	600636. 国新文化	7.41	+0.27%	2020Q1到2022Q1	-43.59%	-13.06%	0.01	-	1.28	0.54%	33.03	-30.63%	教育
43	603613. 国联股份	103.63	-0.66%	2020Q2到2022Q2	206.24%	-87.52%	0.03	72.66	11.08	0.11%	520.20	+40.00%	互联网电商
45	605136. 丽人丽妆	14.14	+0.57%	2016Q1到2022Q1	205.32%	500.00%	0.14	17.09	2.08	1.49%	56.51	-41.18%	互联网电商
128	300209. 天泽信息	6.87	-1.29%	2020Q1到2022Q1	101.85%	-80.54%	0.01	-	7.30	-	29.38	-13.37%	互联网电商
317	300792. 壹网壹创	29.08	+0.07%	2020Q1到2022Q1	-4.38%	22.22%	0.01	26.55	2.60	0.86%	69.36	-40.21%	互联网电商
44	000560. 我爱我家	2.59	0.00%	2020Q1到2022Q1	205.44%	500.00%	4.67	-	0.59	0.31%	61.01	-17.28%	房地产服务
55	002188. 巴士在线	6.19	0.00%	2020Q2到2022Q2	201.86%	-96.29%	0.00	51.23	19.25	-	18.11	+58.72%	房地产服务
2	002524. 光正眼科	6.33	+0.16%	2020Q1到2022Q1	393.20%	286.40%	0.02	-	10.44	-	32.57	-30.97%	医疗服务
75	600763. 通策医疗	132.69	+0.41%	2020Q1到2022Q1	200.12%	500.00%	0.00	63.00	13.91	-	423.73	-33.32%	医疗服务
140	002173. 创新医疗	6.70	+1.52%	2020Q1到2022Q1	85.68%	-4.97%	0.29	-	1.51	-	29.90	-19.76%	医疗服务
311	002219. 恒康医疗	4.09	+0.25%	2020Q1到2022Q1	-2.99%	7.25%	0.53	-	8.57	-	133.18	+52.59%	医疗服务
490	002172. 澳洋健康	4.37	+0.46%	2020Q1到2022Q1	-42.60%	4.00%	0.13	-	35.31	-	33.78	+8.44%	医疗服务
49	300576. 容大感光	27.97	-1.20%	2020Q1到2022Q1	203.88%	500.00%	0.01	215.95	8.21	0.14%	60.43	-13.80%	电子化学品
104	300236. 上海新阳	37.62	-1.52%	2020Q2到2022Q2	155.62%	402.53%	0.01	116.20	2.53	0.39%	119.71	-7.48%	电子化学品
368	300655. 晶瑞电材	21.13	-1.63%	2020Q2到2022Q2	-15.21%	-15.23%	0.00	89.84	6.61	0.27%	125.69	-14.33%	电子化学品
107	300227. 光韵达	8.05	+0.25%	2020Q1到2022Q1	149.56%	361.54%	0.13	53.84	2.78	0.50%	40.11	-18.19%	自动化设备
114	603025. 大豪科技	20.78	-0.24%	2020Q1到2022Q1	124.57%	-5.42%	0.02	56.00	11.45	1.92%	192.54	-19.70%	自动化设备
219	002698. 博实股份	15.70	-1.32%	2020Q1到2022Q1	22.02%	19.63%	0.00	34.98	5.31	1.57%	162.69	+23.11%	自动化设备
494	603015. 弘讯科技	10.21	+0.79%	2020Q1到2022Q1	-43.52%	1.40%	0.03	64.36	3.11	0.99%	40.95	+34.26%	自动化设备
40	600281. 华阳新材	5.56	+1.09%	2020Q1到2022Q1	207.86%	500.00%	0.09	-	5.84	-	28.29	-3.97%	小金属
52	603799. 华友钴业	80.84	-0.38%	2020Q1到2022Q1	202.51%	500.00%	7.83	29.58	5.96	0.28%	1296.89	-4.46%	小金属
409	600459. 贵研铂业	17.63	-0.62%	2020Q1到2022Q1	-24.78%	16.78%	0.05	28.76	2.66	1.13%	104.87	-29.94%	小金属
436	601958. 金钼股份	8.56	+0.12%	2020Q1到2022Q1	-31.55%	30.35%	0.10	41.32	2.24	1.17%	275.87	+26.36%	小金属
164	300139. 晓程科技	9.50	-0.84%	2020Q1到2022Q1	55.40%	-63.70%	0.00	-	2.63	-	26.25	-23.94%	贵金属
111	601600. 中国铝业	4.59	+0.44%	2020Q1到2022Q1	133.93%	330.12%	0.56	10.65	1.33	-	783.07	-24.63%	工业金属
376	600888. 新疆众和	10.43	-0.67%	2020Q1到2022Q1	-17.33%	59.60%	0.13	11.97	1.95	1.81%	141.48	+29.12%	工业金属
85	002189. 中光学	16.00	+0.13%	2020Q1到2022Q1	200.04%	500.00%	0.02	46.96	2.68	1.40%	41.92	-26.61%	国防军工
102	600150. 中国船舶	25.77	+0.62%	2020Q1到2022Q1	160.14%	-85.18%	1.05	-	2.49	0.12%	1145.39	+4.08%	国防军工
120	600764. 中国海防	25.91	-0.31%	2020Q1到2022Q1	112.36%	322.30%	0.01	24.00	2.48	1.22%	184.69	-36.28%	国防军工
190	600118. 中国卫星	21.26	-0.47%	2020Q1到2022Q1	38.66%	21.74%	0.04	130.04	4.16	0.28%	252.58	-21.46%	国防军工
266	688011. 新光光电	28.05	+0.18%	2020Q2到2022Q2	5.58%	-57.83%	0.01	-	2.26	-	28.00	-14.51%	国防军工
375	600391. 航发科技	20.18	-1.08%	2020Q1到2022Q1	-17.28%	63.78%	0.00	300.00	4.62	-	67.35	-27.93%	国防军工
413	300397. 天和防务	12.33	-0.48%	2020Q1到2022Q1	-25.30%	-58.15%	0.01	-	3.26	-	64.14	-19.36%	国防军工
143	000622. 恒立实业	5.24	+0.19%	2020Q1到2022Q1	79.84%	5.47%	0.03	-	10.88	-	22.24	+32.66%	综合
215	000631. 顺发恒业	4.39	-0.90%	2020Q1到2022Q1	23.17%	5.09%	0.20	130.48	1.72	-	107.76	+22.97%	综合
227	600051. 宁波联合	7.02	+0.29%	2020Q1到2022Q1	19.64%	-12.46%	0.04	13.80	0.70	1.43%	21.76	-4.59%	综合
392	600676. 交运股份	4.11	+0.24%	2020Q1到2022Q1	-21.84%	26.23%	0.52	-	0.77	-	42.17	-4.86%	综合
424	600881. 亚泰集团	2.61	0.00%	2020Q1到2022Q1	-27.92%	2.24%	1.93	-	0.67	0.77%	84.80	-19.69%	综合
450	002575. 群兴玩具	6.78	-1.74%	2020Q1到2022Q1	-35.36%	9.34%	0.12	300.00	5.43	-	42.69	+55.15%	综合
476	600070. 浙江富润	5.90	+0.17%	2020Q1到2022Q1	-39.74%	14.40%	0.04	-	1.71	0.84%	30.40	-19.51%	综合
493	600689. 上海三毛	8.55	+0.23%	2020Q1到2022Q1	-43.43%	10.68%	0.04	-	3.90	-	17.14	+19.92%	综合
6	600825. 新华传媒	3.89	+0.52%	2020Q1到2022Q1	324.52%	149.05%	0.10	152.04	1.55	0.26%	40.44	-17.38%	传媒
39	300251. 光线传媒	8.91	-0.34%	2020Q1到2022Q1	208.82%	-82.36%	0.02	-	2.74	2.24%	262.26	-28.90%	传媒
63	002605. 姚记科技	14.72	-0.20%	2020Q1到2022Q1	200.51%	500.00%	0.02	14.71	2.35	2.03%	59.83	-33.81%	传媒
67	300027. 华谊兄弟	2.71	+0.74%	2020Q1到2022Q1	200.35%	500.00%	0.67	-	3.40	-	74.63	-31.57%	传媒
88	300299. 富春股份	6.15	+0.49%	2020Q1到2022Q1	200.00%	500.00%	0.00	58.53	7.89	-	42.30	-6.96%	传媒
94	000607. 华媒控股	4.73	0.00%	2020Q1到2022Q1	175.97%	451.43%	0.10	67.07	3.24	-	48.14	-10.92%	传媒
154	300002. 神州泰岳	4.35	0.00%	2020Q1到2022Q1	69.46%	138.96%	0.04	26.04	1.93	0.58%	85.31	-30.86%	传媒
177	603258. 电魂网络	20.47	+0.29%	2020Q1到2022Q1	46.18%	152.88%	0.04	19.77	1.99	4.04%	50.18	-28.98%	传媒
180	300533. 冰川网络	28.07	+0.11%	2020Q1到2022Q1	45.37%	-20.58%	0.05	40.54	2.28	0.88%	42.73	+40.42%	传媒
257	002624. 完美世界	15.21	+0.07%	2020Q2到2022Q2	8.20%	-36.96%	0.24	40.18	3.28	7.89%	294.88	-18.37%	传媒
259	600977. 中国电影	10.56	+0.09%	2020Q1到2022Q1	7.55%	-29.63%	0.74	245.19	1.76	0.38%	196.97	-17.25%	传媒
278	601019. 山东出版	5.91	-0.17%	2020Q1到2022Q1	3.19%	31.37%	0.22	8.58	0.98	5.91%	123.54	+1.77%	传媒
302	600037. 歌华有线	8.42	0.00%	2020Q1到2022Q1	-1.20%	-0.32%	0.63	93.29	0.91	0.55%	117.19	-2.49%	传媒
316	600640. 新国脉	10.38	+0.48%	2020Q1到2022Q1	-4.28%	39.25%	0.03	-	1.99	0.04%	82.20	-31.93%	传媒
319	600637. 东方明珠	6.65	0.00%	2020Q1到2022Q1	-4.75%	-26.60%	0.58	78.84	0.75	4.06%	227.06	-26.71%	传媒
390	601999. 出版传媒	5.76	+0.35%	2020Q1到2022Q1	-21.76%	-6.98%	0.01	71.41	1.32	1.48%	31.62	-17.71%	传媒
410	000802. 北京文化	4.22	+0.48%	2020Q1到2022Q1	-25.00%	-94.82%	0.34	-	1.91	-	30.07	-14.23%	传媒
412	000719. 中原传媒	7.08	-0.14%	2020Q1到2022Q1	-25.12%	45.80%	0.26	7.61	0.76	4.65%	72.55	-1.34%	传媒
421	002905. 金逸影视	7.35	-1.08%	2020Q1到2022Q1	-26.55%	-42.66%	0.02	-	5.91	-	27.96	-2.52%	传媒
422	300426. 唐德影视	6.77	+0.30%	2020Q1到2022Q1	-26.72%	21.56%	1.66	201.06	78.97	-	27.61	-21.19%	传媒
